permutation,path,length
"[1, 2, 3, 4, 5, 10, 7, 8, 9, 28, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 6, 29, 30, 31, 32, 33, 34, 35, 36]",-f10.-f7.-r0.-f10.r2.-f4.r0.-f10.r2.-f4.r0.r0.-f7.-f10,14
"[1, 2, 3, 4, 8, 5, 7, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-r0.-f5.-f10.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f10.-f5.r0,14
"[1, 2, 3, 4, 5, 29, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 6, 31, 32, 33, 34, 35, 36]",r0.-f5.-f4.-f7.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f7.-f4.-f5.-r0,16
"[1, 2, 3, 4, 5, 6, 7, 8, 36, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 9, 27, 28, 29, 30, 31, 32, 33, 34, 35, 26]",-f0.-r2.-f4.-f2.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f2.-f4.r2.-f0,16
"[1, 2, 12, 4, 5, 3, 7, 8, 9, 10, 11, 6, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-f7.-f9.r2.-r0.-f10.r2.-f4.r0.-f10.r2.-f4.r0.r0.-r2.-f9.-f7,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 30, 28, 29, 36, 31, 32, 33, 34, 35, 27]",-f10.-f0.-f8.-f1.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f1.-f8.-f0.-f10,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 34, 27, 28, 29, 30, 31, 32, 26, 33, 35, 36]",-f0.r2.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-r2.-f0,12
"[29, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 30, 1, 32, 33, 34, 35, 36]",-f8.-f2.-f10.-r0.-f10.r2.-f4.r0.-f10.r2.-f4.r0.r0.-f10.-f2.-f8,16
"[1, 2, 8, 4, 5, 6, 7, 25, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 3, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-f10.-f11.-r2.-f8.-f6.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f6.-f8.r2.-f11.-f10,18
"[1, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 32, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 2, 33, 34, 35, 36]",-f8.-f3.-r2.-f10.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f10.r2.-f3.-f8,16
"[1, 2, 3, 4, 5, 6, 10, 8, 9, 33, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 7, 34, 35, 36]",-f2.-f3.r0.-f7.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f7.-r0.-f3.-f2,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 36, 26, 27, 28, 29, 30, 25, 32, 33, 34, 35, 31]",-r2.-f2.-r2.-f10.r2.-f4.r0.-f10.r2.-f4.r0.r2.-f2.r2,14
"[1, 31, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 32, 2, 34, 35, 36]",-f8.-r2.-f2.-f9.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f9.-f2.r2.-f8,16
"[1, 2, 3, 4, 26, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 6, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-f5.-f4.-f0.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f0.-f4.-f5,14
"[1, 2, 3, 4, 5, 6, 33, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 7, 27, 28, 29, 30, 31, 32, 26, 34, 35, 36]",-f2.-f0.-f9.r2.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-r2.-f9.-f0.-f2,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 30, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32, 31, 11, 33, 34, 35, 36]",r0.-f0.-f8.-f3.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f3.-f8.-f0.-r0,16
"[1, 2, 3, 4, 5, 35, 7, 8, 9, 10, 11, 6, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 12, 36]",-f3.-r2.-f0.-f4.-f8.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f8.-f4.-f0.r2.-f3,18
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 32, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 11, 26, 27, 28, 29, 30, 31, 25, 33, 34, 35, 36]",-f11.-f7.-f10.-f0.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f0.-f10.-f7.-f11,16
"[10, 2, 1, 4, 5, 6, 7, 8, 9, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-f6.-f8.-f4.-f9.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f9.-f4.-f8.-f6,16
"[1, 2, 3, 4, 29, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 36, 30, 31, 32, 33, 34, 35, 5]",-r2.-f4.-f1.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f1.-f4.r2,14
"[1, 2, 25, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 35, 26, 27, 28, 29, 30, 31, 32, 33, 34, 3, 36]",-f8.-f6.-f3.-r0.-f9.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f9.r0.-f3.-f6.-f8,18
"[1, 2, 3, 4, 5, 6, 7, 8, 36, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 9, 33, 34, 35, 32]",-r2.-f3.-r0.-f4.-f1.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f1.-f4.r0.-f3.r2,18
"[1, 2, 8, 4, 5, 6, 7, 33, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 3, 34, 35, 36]",-f2.r2.-f1.r2.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-r2.-f1.-r2.-f2,16
"[1, 2, 4, 29, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 3, 30, 31, 32, 33, 34, 35, 36]",-f10.-r2.-f1.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f1.r2.-f10,14
"[1, 8, 3, 4, 5, 6, 7, 25, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 2, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-f11.r0.-f8.-f10.-f8.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f8.-f10.-f8.-r0.-f11,18
"[1, 2, 3, 4, 5, 6, 7, 8, 27, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 30, 28, 29, 9, 31, 32, 33, 34, 35, 36]",-f2.-f6.-f4.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f4.-f6.-f2,14
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 32, 26, 27, 28, 29, 30, 31, 36, 33, 34, 35, 25]",-f10.-f2.-f3.-f9.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f9.-f3.-f2.-f10,16
"[1, 2, 3, 4, 5, 6, 25, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 36, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 7]",r2.-f0.-f5.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f5.-f0.-r2,14
"[1, 2, 3, 4, 5, 8, 7, 33, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 6, 34, 35, 36]",-f8.-f4.-r2.-f2.-f9.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f9.-f2.r2.-f4.-f8,18
"[28, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 1, 27, 26, 29, 30, 31, 32, 33, 34, 35, 36]",-f8.-f1.r2.-f4.-f2.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f2.-f4.-r2.-f1.-f8,18
"[1, 2, 25, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 34, 26, 27, 28, 29, 30, 31, 32, 33, 3, 35, 36]",-f11.-f10.-f11.-f1.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f1.-f11.-f10.-f11,16
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 12, 29, 31, 32, 33, 34, 35, 36]",-f10.-r2.-f0.-f9.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f9.-f0.r2.-f10,16
"[1, 2, 3, 4, 5, 6, 25, 8, 9, 10, 7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 11, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-f0.-f5.-f2.-f4.-f10.r2.-f4.r0.-f10.r2.-f4.r0.-f4.-f2.-f5.-f0,16
