permutation,path,length
"[8, 2, 3, 4, 5, 1, 7, 6, 9, 10]",-l.r.-l.-l.-r.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.r.l.l.-r.l,26
"[9, 2, 3, 4, 5, 6, 7, 8, 10, 1]",-l.-r.-l.-r.-l.-l.-r.-l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.l.r.l.l.r.l.r.l,30
"[1, 9, 3, 4, 5, 6, 7, 2, 8, 10]",-r.l.l.-r.l.l.-r.-l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.l.r.-l.-l.r.-l.-l.r,30
"[1, 2, 10, 4, 5, 6, 7, 3, 9, 8]",l.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.-l,18
"[1, 2, 3, 4, 5, 9, 7, 6, 8, 10]",r.-l.r.l.l.-r.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.r.-l.-l.-r.l.-r,28
"[3, 2, 7, 4, 5, 6, 1, 8, 9, 10]",-r.-l.-l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.l.l.r,20
"[1, 2, 3, 4, 6, 8, 7, 5, 9, 10]",r.-l.-l.-r.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.r.l.l.-r,24
"[9, 1, 3, 4, 5, 6, 7, 8, 2, 10]",-l.-l.-r.-l.-l.r.r.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.-r.-r.l.l.r.l.l,30
"[1, 8, 3, 4, 2, 6, 7, 5, 9, 10]",r.-l.-l.-r.-l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.l.r.l.l.-r,24
"[2, 3, 1, 4, 5, 6, 7, 8, 9, 10]",-r.-r.-l.-l.-l.-r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.r.l.l.l.r.r,24
"[1, 2, 8, 4, 5, 6, 3, 7, 9, 10]",l.-r.l.-r.l.l.-r.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.r.-l.-l.r.-l.r.-l,30
"[1, 2, 3, 4, 8, 6, 5, 7, 9, 10]",-r.-r.l.l.r.-l.-l.-r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.r.l.l.-r.-l.-l.r.r,28
"[1, 9, 3, 2, 5, 6, 7, 8, 4, 10]",-l.-r.l.-r.l.-r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.r.-l.r.-l.r.l,24
"[1, 2, 3, 4, 5, 6, 9, 8, 10, 7]",r.-l.-r.-l.-r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.r.l.r.l.-r,22
"[1, 4, 3, 5, 2, 6, 7, 8, 9, 10]",-l.-r.l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.-l.r.l,20
"[10, 1, 3, 4, 5, 6, 7, 8, 9, 2]",r.l.l.l.-r.l.l.-r.-l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.l.r.-l.-l.r.-l.-l.-l.-r,32
"[1, 2, 3, 9, 5, 4, 7, 8, 6, 10]",-r.l.l.l.r.r.-l.r.-l.r.r.r.-l.-l.r.r.r.-l.-l.l.-r.l.-r.-r.-l.-l.-l.r,28
